Tamanho População (Np): 50 
Máximo gerações: 500 
P. Crossover (Pc): 0.900000 
P. Mutação (Pm): 0.050000 
Tamanho População (Np): 50 
Máximo gerações: 500 
P. Crossover (Pc): 0.900000 
P. Mutação (Pm): 0.050000 
Tamanho População (Np): 50 
Máximo gerações: 500 
P. Crossover (Pc): 0.900000 
P. Mutação (Pm): 0.050000 
Tamanho População (Np): 50 
Máximo gerações: 500 
P. Crossover (Pc): 0.900000 
P. Mutação (Pm): 0.050000 
Tamanho População (Np): 50 
Máximo gerações: 500 
P. Crossover (Pc): 0.900000 
P. Mutação (Pm): 0.050000 
Tamanho População (Np): 50 
Máximo gerações: 500 
P. Crossover (Pc): 0.900000 
P. Mutação (Pm): 0.050000 
Tamanho População (Np): 50 
Máximo gerações: 500 
P. Crossover (Pc): 0.900000 
P. Mutação (Pm): 0.050000 
Tamanho População (Np): 50 
Máximo gerações: 500 
P. Crossover (Pc): 0.900000 
P. Mutação (Pm): 0.050000 
< 15, 109.000000, 148.000000, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1 > 
Tamanho População (Np): 50 
Máximo gerações: 500 
P. Crossover (Pc): 0.900000 
P. Mutação (Pm): 0.050000 
< 28, 267.000000, 352.000000, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1 > 
< 28, 267.000000, 352.000000, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1 > 
< 28, 267.000000, 352.000000, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1 > 
< 28, 267.000000, 352.000000, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1 > 
< 28, 267.000000, 352.000000, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1 > 
