Tamanho População (Np): 10 
Máximo gerações: 100 
P. Crossover (Pc): 0.600000 
P. Mutação (Pm): 0.050000 


 Execução: 1 Tamanho População (Np): 10 
Máximo gerações: 100 
P. Crossover (Pc): 0.600000 
P. Mutação (Pm): 0.050000 


 Execução: 1 Tamanho População (Np): 10 
Máximo gerações: 100 
P. Crossover (Pc): 0.600000 
P. Mutação (Pm): 0.050000 


 Execução: 1 Tamanho População (Np): 10 
Máximo gerações: 100 
P. Crossover (Pc): 0.600000 
P. Mutação (Pm): 0.050000 


 Execução: 1 Tamanho População (Np): 10 
Máximo gerações: 100 
P. Crossover (Pc): 0.600000 
P. Mutação (Pm): 0.050000 


 Execução: 1 Tamanho População (Np): 10 
Máximo gerações: 100 
P. Crossover (Pc): 0.600000 
P. Mutação (Pm): 0.050000 


 Execução: 1 Tamanho População (Np): 10 
Máximo gerações: 100 
P. Crossover (Pc): 0.600000 
P. Mutação (Pm): 0.050000 


 Execução: 1 < 14, 100.000000, 152.000000, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1 > 
< 14, 100.000000, 152.000000, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1 > 
< 14, 100.000000, 152.000000, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1 > 
< 14, 100.000000, 152.000000, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1 > 
< 14, 100.000000, 152.000000, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1 > 
< 14, 100.000000, 152.000000, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1 > 
< 14, 100.000000, 152.000000, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1 > 
< 14, 100.000000, 152.000000, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1 > 
< 14, 100.000000, 152.000000, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1 > 
< 14, 100.000000, 152.000000, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1 > 
< 14, 100.000000, 152.000000, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1 > 
